Listing Name,Price,Room Type,Reviews
NEW A Beautiful Size Brooklyn Apartment by the Park,3008,Entire home/apt,
NEW Beautiful Room in Brooklyn Apartment,1237,Private room,
"Sunny, spacious room in Bushwick",1504,Private room,23 reviews
BROOKLYN  STUDIO APARTMENT,4010,Private room,181 reviews
COZY HOME 5 MINUTES TO SUBWAY,2506,Private room,24 reviews
Sunny Delight with Free Bikes!,2172,Private room,76 reviews
Private room. Modern Apartment,1838,Private room,152 reviews
Room in a beautiful rooftop duplex,3175,Private room,2 reviews
It's a room; it's a quiet room!,1170,Private room,13 reviews
Room in a beautiful rooftop duplex,3175,Private room,2 reviews
It's a room; it's a quiet room!,1170,Private room,13 reviews
Simple room in Williamsburg,1838,Private room,60 reviews
Helles und modernes Zimmer/Wohnung in Bushwick,2607,Private room,1 review
"Sunny, comfy and quiet room",2707,Private room,52 reviews
Room in Brooklyn Rowhouse - 3C,1303,Private room,7 reviews
Dean Street Oasis,2206,Private room,1 review
Friendly Futon in Brooklyn,969,Shared room,3 reviews
Beautiful rooftop studio apartment,2573,Entire home/apt,92 reviews
Brooklyn Garden apartment -BedStuy,2339,Entire home/apt,7 reviews
Loft-Like 2 Bedroom with Terrace in Brooklyn!,5848,Entire home/apt,
"Quaint, Sunlit Room in Bushwick",1872,Private room,17 reviews
Small Cozy 6 x 10ft Room with Twin,1972,Private room,3 reviews
"Beautiful Apt in Bed-Stuy, Brooklyn",3676,Entire home/apt,18 reviews
Sunny/Cozy 1BD,2974,Entire home/apt,73 reviews
Sunny+Spacious Brownstone Apartment,4010,Entire home/apt,1 review
"NEW Cozy Row House 1 Bedroom in Bedstuy, Brooklyn",1370,Private room,
"Cheap, Cheerful AND Super Cozy !!!!",1170,Private room,116 reviews
Private Studio/great neighborhood,2339,Entire home/apt,9 reviews
Big & Beautiful Crown Heights Apt,3275,Entire home/apt,21 reviews
Cozy Bedroom In Prime Location,1671,Private room,2 reviews
Charming Ft Greene Garden Apartment,4980,Entire home/apt,56 reviews
"Newly renovated, sunny room with a private bath",2506,Private room,1 review
Lovely Quiet Suite in Brownstone,2506,Private room,61 reviews
Sunlit Room in Brooklyn Brownstone,2674,Private room,
Peaceful South Slope Living Quarters,3977,Entire home/apt,34 reviews
NEW NYC loft loving be a part of it! [AE4-1],1203,Private room,
"Rise & Shine in Sunset Park, BK.",1671,Private room,34 reviews
NEW Big and Bright room with private kicthen,2506,Private room,
Private Rm in Beautiful Brownstone,2005,Private room,58 reviews
Sunny Private Room! on the park!,1838,Private room,2 reviews
Four stops to Manhattan!,2674,Private room,39 reviews
"Hip pad, rad hood, 1 block to train",2139,Private room,4 reviews
Spacious Room in a Brooklyn House,2674,Private room,104 reviews
NEW Private Trendy Bushwick Loft,1370,Private room,
Quiet artist's den,2506,Entire home/apt,9 reviews
Private Studio/great neighborhood,2339,Entire home/apt,9 reviews
Big & Beautiful Crown Heights Apt,3275,Entire home/apt,21 reviews
Cozy Bedroom In Prime Location,1671,Private room,2 reviews
Charming Ft Greene Garden Apartment,4980,Entire home/apt,56 reviews
"Newly renovated, sunny room with a private bath",2506,Private room,1 review
Lovely Quiet Suite in Brownstone,2506,Private room,61 reviews
Sunlit Room in Brooklyn Brownstone,2674,Private room,
Peaceful South Slope Living Quarters,3977,Entire home/apt,34 reviews
NEW NYC loft loving be a part of it! [AE4-1],1203,Private room,
"Rise & Shine in Sunset Park, BK.",1671,Private room,34 reviews
NEW Big and Bright room with private kicthen,2506,Private room,
Private Rm in Beautiful Brownstone,2005,Private room,58 reviews
Sunny Private Room! on the park!,1838,Private room,2 reviews
Four stops to Manhattan!,2674,Private room,39 reviews
"Hip pad, rad hood, 1 block to train",2139,Private room,4 reviews
Spacious Room in a Brooklyn House,2674,Private room,104 reviews
NEW Private Trendy Bushwick Loft,1370,Private room,
Quiet artist's den,2506,Entire home/apt,9 reviews
"Room in modern, Brooklyn apartment.",2172,Private room,84 reviews
BedStuy Room with Backyard,1470,Private room,86 reviews
Cozy one bedroom on Bedford Ave with vintage charm,3509,Entire home/apt,19 reviews
Comfortable Cobble Hill Bedroom,2674,Private room,27 reviews
Large sunny comfy bedroom,1671,Private room,1 review
"Charming, warm, and open home.",4345,Entire home/apt,10 reviews
"Luxury townhouse, full sized bed, close to subway",1170,Shared room,1 review
Perfect One Bedroom in Brooklyn,2172,Private room,20 reviews
Bedroom /Loft private entrance,2339,Private room,4 reviews
private bathroom and balcony,1638,Private room,19 reviews
Convenient room close to transport,969,Private room,23 reviews
Sunny charming Prospect Park apt!,4345,Entire home/apt,5 reviews
Bright room in charming duplex,1303,Private room,5 reviews
"Beautiful Apt in Bed-Stuy, Brooklyn",3676,Entire home/apt,18 reviews
Cute room in charming Bk share,1671,Private room,4 reviews
Private Studio/great neighborhood,2339,Entire home/apt,9 reviews
"Beautiful, Sunny Apt by the Park",3342,Entire home/apt,1 review
Comfy KING bed in modern NYC apt,1671,Private room,4 reviews
NYC Cozy bunk 2 Huge backyard!,1036,Shared room,27 reviews
Convenient location + Rooftop Acces,2674,Private room,8 reviews
Stunning studio 25mins to Manhattan,3342,Entire home/apt,72 reviews
New studio APT with marble floors!,2607,Entire home/apt,133 reviews
Sunny Room with Private Balcony,2339,Private room,38 reviews
Brooklyn Room 1 Block from Subways,1771,Private room,18 reviews
Comfortable 420 Friendly Room,1671,Private room,4 reviews
Lovely Guestroom in Brownstone,2339,Private room,25 reviews
White and bright,1337,Private room,5 reviews
Newly Renovated Bedstuy Brownstone,1337,Private room,5 reviews
NEW More than just a room,1671,Private room,
Cute sunny and affordable studio,3008,Entire home/apt,39 reviews
NEW Spacious Comfortable Room In Flatbush,3008,Private room,
NEW Small and cozy room in Williamsburg 2-Bedroom apt.,1604,Private room,
